================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,303 commercial trades   proven=821  inferred=160  unknown=322
  by method: courier=821  unresolved=322  sector=76  delivery=59  visit=25
  (also 769 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                        Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  23h 49m TEL Vulture Vanguard [LHW-  In  Quantum Tubes          5   345.57       1,728  —                                       [?] unknown
  23h 50m VWB-834                     Out Energy Cells         200    19.00       3,800  —                                       [?] unknown
  23h 52m TEL Vulture Vanguard [LHW-  In  Quantum Tubes         12   358.29       4,299  —                                       [?] unknown
  23h 53m WNP-362                     Out Silicon Wafers       121   419.00      50,699  ARG Microchip Factory I (YRF-111)       [v] proven (courier)
  23h 55m TEL Vulture Vanguard [LHW-  In  Quantum Tubes          1   337.07         337  —                                       [?] unknown
  23h 58m TEL Vulture Vanguard [LHW-  In  Quantum Tubes          3   340.80       1,022  —                                       [?] unknown

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Station BHS   ·  318 trades   [v] 192   [~] 83   [?] 43
  ────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                        Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  ────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  9m      WYX-052                     Out Graphene             492   153.22      75,384  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  11m     HOH-092                     Out Refined Metals       144   129.41      18,635  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  13m     EIY-744                     Out Energy Cells       1,600    18.18      29,088  TEL Hull Part Factory III (ZSP-757)     [v] proven (courier)
  13m     SWL-046                     Out Energy Cells       5,241    16.01      83,908  ARG Ice Refinery II (VBL-529)           [~] infer (delivery)
  16m     UVJ-769                     Out Refined Metals       424   200.24      84,902  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  16m     ZHZ-761                     Out Energy Cells       1,560    16.75      26,130  TEL Scanning Array Factory I (NQA-203)  [v] proven (courier)
  23m     WYX-052                     Out Graphene             492   164.88      81,121  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  28m     HOH-092                     Out Refined Metals        40   133.02       5,321  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  28m     HIZ-122                     Out Refined Metals       320   123.47      39,510  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  29m     UVJ-769                     Out Energy Cells         800    16.47      13,176  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  32m     EIY-744                     Out Graphene             410   164.51      67,449  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  38m     WYX-052                     Out Graphene             492   158.84      78,149  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  41m     GEI-334                     Out Hull Parts         3,083   229.89     708,751  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  41m     UVJ-769                     Out Energy Cells       1,440    17.31      24,926  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  45m     HOH-092                     Out Refined Metals        40   133.02       5,321  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  50m     EIY-744                     Out Hull Parts           683   272.00     185,776  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  50m     ZHZ-761                     Out Refined Metals        80   190.45      15,236  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  59m     UVJ-769                     Out Graphene             475   159.66      75,838  TEL Plasma Conductor Factory I (CYE-59  [v] proven (courier)
  1h 02m  WYX-052                     Out Hull Parts           820   233.15     191,183  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  1h 02m  [0x505bd]                   Out Refined Metals       248   125.87      31,216  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  1h 08m  EIY-744                     Out Graphene             410   180.16      73,866  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  1h 10m  [0x50a5d]                   Out Energy Cells       8,200    15.94     130,708  —                                       [?] unknown
  1h 14m  GBX-243                     Out Energy Cells       4,192    15.83      66,359  PAR Solar Power Plant I (AGJ-841)       [~] infer (delivery)
  1h 16m  UVJ-769                     Out Graphene             475   160.78      76,370  TEL Plasma Conductor Factory I (CYE-59  [v] proven (courier)
  1h 23m  ZHZ-761                     Out Energy Cells         980    16.49      16,160  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  1h 26m  EIY-744                     Out Graphene             410   161.28      66,125  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  1h 26m  WYX-052                     Out Graphene             492   231.89     114,090  TEL Hull Part Factory II (XTQ-699)      [v] proven (courier)
  1h 31m  UVJ-769                     Out Graphene             475   169.36      80,446  TEL Plasma Conductor Factory I (CYE-59  [v] proven (courier)
  1h 37m  GEI-334                     Out Hull Parts         3,083   215.33     663,862  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  1h 43m  WYX-052                     Out Graphene             492   163.44      80,412  TEL Plasma Conductor Factory I (CYE-59  [v] proven (courier)
  1h 44m  [0x505bd]                   Out Refined Metals       496   117.78      58,419  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  1h 45m  EIY-744                     Out Hull Parts           683   239.26     163,415  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  1h 46m  FAG-193                     Out Energy Cells       3,399    16.32      55,472  ARG Solar Power Plant II (UMV-716)      [~] infer (delivery)
  1h 52m  ZHZ-761                     Out Graphene             680   168.26     114,417  TEL Plasma Conductor Factory I (CYE-59  [v] proven (courier)
  1h 55m  HOH-092                     Out Refined Metals       152   129.14      19,629  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  1h 57m  WYX-052                     Out Graphene             492   166.00      81,672  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  2h 02m  UVJ-769                     Out Hull Parts           791   253.79     200,748  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  2h 09m  EIY-744                     Out Energy Cells       3,840    21.07      80,909  ARG Antimatter Converter Factory I (CB  [v] proven (courier)
  2h 12m  WYX-052                     Out Graphene             492   162.38      79,891  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  2h 23m  EIY-744                     Out Refined Metals       496   133.35      66,142  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  2h 25m  WYX-052                     Out Graphene             492   169.61      83,448  TEL Plasma Conductor Factory I (CYE-59  [v] proven (courier)
  2h 31m  ZHZ-761                     Out Hull Parts         1,133   245.01     277,596  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  2h 33m  UVJ-769                     Out Energy Cells       1,150    17.34      19,941  TEL Advanced Composite Factory I (WTF-  [v] proven (courier)
  2h 34m  EIY-744                     Out Graphene             410   169.46      69,479  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  2h 35m  ARG Mercury Vanguard [TEE-  Out Energy Cells       8,200    16.32     133,824  —                                       [?] unknown
  2h 37m  QPM-580                     Out Energy Cells       2,352    16.08      37,820  ANT Microchip Factory IV (NOZ-254)      [~] infer (delivery)
  2h 40m  HOH-092                     Out Refined Metals        40   133.02       5,321  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  2h 42m  WYX-052                     Out Graphene             292   233.00      68,036  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  2h 50m  UVJ-769                     Out Refined Metals       144   130.89      18,848  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  2h 51m  EIY-744                     Out Graphene             410   179.43      73,566  ANT Hull Part Factory II (XCV-961)      [v] proven (courier)
  2h 51m  FAG-193                     Out Energy Cells       5,908    15.96      94,292  ARG Solar Power Plant II (UMV-716)      [~] infer (delivery)
  2h 54m  VQL-045                     Out Refined Metals       176   128.32      22,584  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  2h 56m  HOH-092                     Out Refined Metals        72   131.90       9,497  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  3h 04m  UVJ-769                     Out Energy Cells       1,245    16.23      20,206  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  3h 06m  HOH-092                     Out Refined Metals        40   133.02       5,321  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  3h 08m  WYX-052                     Out Hull Parts           820   250.90     205,738  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  3h 10m  EIY-744                     Out Graphene             410   177.25      72,672  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  3h 10m  ZHZ-761                     Out Refined Metals       112   155.54      17,420  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  3h 16m  UVJ-769                     Out Energy Cells         878    17.11      15,023  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  3h 17m  JOZ-382                     Out Energy Cells       2,400    15.99      38,376  TEL Refined Goods Complex I (FXI-929)   [~] infer (delivery)
  3h 22m  [0x505bd]                   Out Refined Metals       216   126.95      27,421  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  3h 24m  EIY-744                     Out Graphene             410   235.57      96,584  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  3h 25m  FLM-172                     Out Hull Parts         3,083   219.49     676,688  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  3h 28m  UVJ-769                     Out Graphene             475   235.94     112,072  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  3h 34m  WYX-052                     Out Graphene             492   219.59     108,038  TEL Advanced Composite Factory I (WTF-  [v] proven (courier)
  3h 46m  ZHZ-761                     Out Graphene             680   195.61     133,015  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  3h 47m  EIY-744                     Out Hull Parts           683   258.87     176,808  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  3h 47m  UVJ-769                     Out Graphene             475   178.34      84,712  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  3h 52m  WYX-052                     Out Refined Metals         8   146.67       1,173  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  3h 54m  [0x505bd]                   Out Refined Metals       352   122.41      43,088  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  3h 56m  HOH-092                     Out Refined Metals       176   128.32      22,584  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  4h 03m  FKP-127                     Out Energy Cells      12,080    16.45     198,716  —                                       [?] unknown
  4h 07m  UVJ-769                     Out Graphene             475   212.74     101,052  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  4h 09m  EIY-744                     Out Graphene             410   178.49      73,181  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  4h 11m  WYX-052                     Out Hull Parts           820   243.30     199,506  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  4h 13m  [0x505bd]                   Out Refined Metals       216   126.95      27,421  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  4h 27m  ZHZ-761                     Out Hull Parts           140   228.54      31,996  ARG Weapon Component Factory V (JVX-63  [v] proven (courier)
  4h 28m  UVJ-769                     Out Graphene             475   181.20      86,070  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  4h 29m  EIY-744                     Out Hull Parts           180   270.24      48,643  TEL Drone Component Factory I (VWZ-124  [v] proven (courier)
  4h 30m  WYX-052                     Out Refined Metals        72   139.75      10,062  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  4h 44m  GEI-334                     Out Hull Parts         3,083   216.78     668,333  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  4h 45m  WYX-052                     Out Hull Parts           215   230.55      49,568  ARG Weapon Component Factory II (LBJ-6  [v] proven (courier)
  4h 45m  HOH-092                     Out Refined Metals       320   123.47      39,510  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  4h 48m  UVJ-769                     Out Refined Metals       152   138.31      21,023  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  4h 52m  EIY-744                     Out Graphene             410   224.72      92,135  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  5h 01m  WYX-052                     Out Graphene             492   228.06     112,206  TEL Hull Part Factory II (XTQ-699)      [v] proven (courier)
  5h 04m  UVJ-769                     Out Graphene             475   182.53      86,702  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  5h 06m  LVQ-086                     Out Refined Metals       352   122.41      43,088  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  5h 09m  ZHZ-761                     Out Hull Parts           165   242.48      40,009  ARG Weapon Component Factory III (JRZ-  [v] proven (courier)
  5h 11m  EIY-744                     Out Graphene             410   236.03      96,772  TEL Hull Part Factory I (KBJ-943)       [v] proven (courier)
  5h 14m  AOL-503                     Out Hull Parts           140   179.18      25,085  MIN Teladi Wharf (PXO-913)              [v] proven (courier)
  5h 23m  WYX-052                     Out Graphene             492   198.85      97,834  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  5h 23m  EIY-744                     Out Refined Metals         8   136.68       1,093  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  5h 28m  UVJ-769                     Out Energy Cells       1,109    18.82      20,871  TEL Microchip Factory IV (LWS-533)      [v] proven (courier)
  5h 35m  WYX-052                     Out Energy Cells         480    18.91       9,077  ARG Weapon Component Factory I (JEM-75  [v] proven (courier)
  5h 38m  EIY-744                     Out Refined Metals        72   182.21      13,119  ANT Hull Part Factory III (VKD-147)     [v] proven (courier)
  5h 42m  ZHZ-761                     Out Refined Metals       144   130.00      18,720  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  5h 46m  AOL-503                     Out Graphene             604   192.30     116,149  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  5h 46m  WYX-052                     Out Refined Metals       176   128.72      22,655  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  5h 50m  NDX-352                     Out Hull Parts         2,332   227.45     530,413  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  5h 58m  UVJ-769                     Out Energy Cells       1,784    19.12      34,110  TEL Hull Part Factory III (ZSP-757)     [v] proven (courier)
  5h 58m  WYX-052                     Out Graphene             492   205.58     101,145  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  5h 59m  EIY-744                     Out Refined Metals       216   133.41      28,817  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  6h 05m  AOL-503                     Out Refined Metals       216   133.88      28,918  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  6h 14m  WYX-052                     Out Energy Cells       3,991    19.01      75,869  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  6h 14m  EIY-744                     Out Graphene             410   205.74      84,353  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  6h 22m  [0x7e232]                   Out Hull Parts         1,750   225.37     394,398  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  6h 24m  UVJ-769                     Out Graphene             475   206.87      98,263  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  6h 29m  AOL-503                     Out Hull Parts         1,006   272.00     273,632  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  6h 31m  WYX-052                     Out Refined Metals       216   137.35      29,668  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  6h 35m  EIY-744                     Out Hull Parts            27   270.81       7,312  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  6h 47m  WYX-052                     Out Refined Metals       112   134.72      15,089  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  6h 48m  UVJ-769                     Out Energy Cells       1,121    20.02      22,442  ANT Shield Component Factory I (KQQ-89  [v] proven (courier)
  6h 54m  AOL-503                     Out Refined Metals         8   139.51       1,116  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  6h 56m  EIY-744                     Out Energy Cells       2,122    19.92      42,270  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  7h 01m  WYX-052                     Out Refined Metals       352   142.29      50,086  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  7h 11m  UVJ-769                     Out Hull Parts           194   256.33      49,728  ARG Weapon Component Factory II (LBJ-6  [v] proven (courier)
  7h 15m  [0x7e232]                   Out Hull Parts         1,750   226.54     396,445  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  7h 21m  EIY-744                     Out Energy Cells         600    20.72      12,432  ANT Weapon Component Factory I (MVK-69  [v] proven (courier)
  7h 23m  AOL-503                     Out Graphene             604   222.06     134,124  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  7h 29m  WYX-052                     Out Graphene              75   213.29      15,997  ANT Plasma Conductor Factory I (BFL-68  [~] infer (delivery)
  7h 35m  EIY-744                     Out Refined Metals       392   145.21      56,922  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  7h 38m  WYX-052                     Out Hull Parts           820   272.00     223,040  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  7h 39m  UVJ-769                     Out Energy Cells       1,520    20.80      31,616  ANT Meat Factory I (PEU-839)            [v] proven (courier)
  7h 43m  EIY-744                     Out Refined Metals       216   151.57      32,739  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  7h 56m  WYX-052                     Out Hull Parts           200   258.78      51,756  ARG Weapon Component Factory I (MMV-07  [v] proven (courier)
  7h 59m  EIY-744                     Out Graphene             410   220.26      90,307  ANT Plasma Conductor Factory II (SVJ-6  [v] proven (courier)
  8h 01m  AOL-503                     Out Graphene             604   233.00     140,732  TEL Hull Part Factory II (JSP-571)      [v] proven (courier)
  8h 09m  WYX-052                     Out Refined Metals       216   157.90      34,106  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  8h 10m  UVJ-769                     Out Hull Parts           106   272.00      28,832  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  8h 14m  EIY-744                     Out Refined Metals       176   162.07      28,524  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  8h 16m  WYX-052                     Out Refined Metals        40   164.13       6,565  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  8h 26m  AOL-503                     Out Refined Metals       207   169.74      35,136  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  8h 31m  EIY-744                     Out Hull Parts           180   250.03      45,005  ARG Weapon Component Factory V (JVX-63  [v] proven (courier)
  8h 32m  WYX-052                     Out Energy Cells         660    21.38      14,111  ARG Weapon Component Factory II (LBJ-6  [v] proven (courier)
  8h 43m  UVJ-769                     Out Energy Cells       1,840    21.79      40,094  ANT Meat Factory II (AJR-235)           [v] proven (courier)
  8h 45m  AOL-503                     Out Energy Cells         720    21.82      15,710  ARG Weapon Component Factory III (JRZ-  [v] proven (courier)
  8h 51m  WYX-052                     Out Graphene             492   231.39     113,844  ANT Plasma Conductor Factory II (SVJ-6  [v] proven (courier)
  8h 53m  EIY-744                     Out Graphene             410   233.00      95,530  ANT Plasma Conductor Factory II (SVJ-6  [v] proven (courier)
  9h 10m  WYX-052                     Out Energy Cells         744    21.93      16,316  ARG Weapon Component Factory V (JVX-63  [v] proven (courier)
  9h 16m  EIY-744                     Out Graphene             410   246.09     100,897  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  9h 17m  UVJ-769                     Out Graphene             475   246.61     117,140  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  9h 22m  AOL-503                     Out Energy Cells       1,417    22.22      31,486  ANT Advanced Electronics Factory I (TQ  [v] proven (courier)
  9h 29m  WYX-052                     Out Graphene             492   251.70     123,836  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  9h 37m  EIY-744                     Out Graphene             410   256.12     105,009  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  9h 44m  UVJ-769                     Out Graphene             475   254.96     121,106  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  9h 51m  WYX-052                     Out Energy Cells       2,640    22.00      58,080  ARG Spacefuel Factory I (VWX-278)       [v] proven (courier)
  9h 57m  AOL-503                     Out Energy Cells       1,320    22.00      29,040  ARG Advanced Electronics Factory I (HE  [v] proven (courier)
  9h 59m  EIY-744                     Out Graphene             410   253.99     104,136  ANT Plasma Conductor Factory II (SVJ-6  [v] proven (courier)
  10h 12m UVJ-769                     Out Graphene             475   233.00     110,675  TEL Hull Part Factory II (JSP-571)      [v] proven (courier)
  10h 14m WYX-052                     Out Graphene             492   232.15     114,218  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  10h 19m EIY-744                     Out Energy Cells         595    22.09      13,144  ANT Weapon Component Factory II (JFD-6  [v] proven (courier)
  10h 30m AOL-503                     Out Energy Cells       1,608    21.13      33,977  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  10h 32m WYX-052                     Out Hull Parts           146   265.66      38,786  ARG Weapon Component Factory II (LBJ-6  [v] proven (courier)
  10h 36m EIY-744                     Out Graphene              82   171.86      14,093  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  10h 42m ANT Ides Vanguard [SIZ-204  Out Hull Parts           616   146.00      89,936  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  10h 45m WYX-052                     Out Energy Cells       4,839    13.26      64,165  ARG Food Ration Factory II (IIW-758)    [v] proven (courier)
  10h 53m ANT Ides Vanguard [SIZ-204  Out Hull Parts           588   149.87      88,124  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  10h 54m AOL-503                     Out Graphene             312   154.93      48,338  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  10h 57m VIG Barbarossa [DMC-699]    Out Hull Parts           876   147.83     129,499  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  10h 59m EIY-744                     Out Energy Cells         720    24.07      17,330  ANT Drone Component Factory I (YAE-096  [v] proven (courier)
  11h 01m FLM-172                     Out Hull Parts           290   148.05      42,934  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  11h 07m ANT Incarcatura Vanguard [  Out Energy Cells      10,846    12.07     130,911  —                                       [?] unknown
  11h 09m AOL-503                     Out Graphene             538   166.98      89,835  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  11h 13m [0x51019]                   Out Energy Cells         412    22.00       9,064  —                                       [?] unknown
  11h 18m PAR Tethys Vanguard [BPX-9  Out Hull Parts           131   146.00      19,126  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  11h 19m [0x51019]                   Out Hull Parts           332   272.00      90,304  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  11h 28m EIY-744                     Out Hull Parts           135   272.00      36,720  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  11h 34m AOL-503                     Out Energy Cells         840    20.33      17,077  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  11h 35m NDX-352                     Out Hull Parts         1,176   201.46     236,917  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  11h 46m EIY-744                     Out Graphene             304   145.57      44,253  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  11h 57m [0x51019]                   Out Energy Cells          73    22.00       1,606  —                                       [?] unknown
  12h 01m ARG Ides Sentinel [WIH-366  Out Energy Cells       8,880    14.43     128,138  —                                       [?] unknown
  12h 02m EIY-744                     Out Graphene             304   183.12      55,668  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  12h 07m AOL-503                     Out Hull Parts           215   230.55      49,568  ARG Weapon Component Factory III (JRZ-  [v] proven (courier)
  12h 10m VIG Barbarossa [DMC-699]    Out Hull Parts         1,188   200.47     238,158  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  12h 18m EIY-744                     Out Graphene             264   184.11      48,605  —                                       [?] unknown
  12h 21m ANT Callisto Sentinel [GRT  Out Energy Cells       1,236    14.85      18,355  —                                       [?] unknown
  12h 24m ANT Ides Sentinel [COE-385  Out Energy Cells       7,666    14.74     112,997  —                                       [?] unknown
  12h 31m ARG Mercury Vanguard [GJU-  Out Hull Parts           683   157.82     107,791  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  12h 33m ANT Callisto Sentinel [EOF  Out Energy Cells       1,236    14.85      18,355  —                                       [?] unknown
  12h 34m AOL-503                     Out Graphene             552   193.76     106,956  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  12h 35m EIY-744                     Out Graphene              56   188.55      10,559  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  12h 55m EIY-744                     Out Hull Parts           266   272.00      72,352  ARG Weapon Component Factory V (JVX-63  [v] proven (courier)
  12h 55m TEL Tern Vanguard [JIP-779  Out Energy Cells       4,880    15.90      77,592  —                                       [?] unknown
  13h 02m AOL-503                     Out Energy Cells       1,392    18.81      26,184  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  13h 14m EIY-744                     Out Graphene             400   184.89      73,956  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  13h 27m NDX-352                     Out Hull Parts         1,176   201.46     236,917  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  13h 32m EIY-744                     Out Graphene             208   181.24      37,698  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  13h 33m AOL-503                     Out Graphene              56   256.30      14,353  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  13h 37m FKP-127                     Out Energy Cells      10,438    14.20     148,220  —                                       [?] unknown
  13h 48m EIY-744                     Out Graphene             152   176.99      26,902  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  13h 52m VIG Barbarossa [QDO-095]    Out Hull Parts         1,176   201.46     236,917  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  13h 57m ARG Mercury Vanguard [LCB-  Out Energy Cells       8,200    15.42     126,444  —                                       [?] unknown
  14h 03m EIY-744                     Out Graphene             326   168.77      55,019  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  14h 09m AOL-503                     Out Energy Cells         717    22.00      15,774  —                                       [?] unknown
  14h 14m VIG Barbarossa [QDO-095]    Out Hull Parts         1,470   178.27     262,057  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  14h 16m EIY-744                     Out Graphene             410   146.84      60,204  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  14h 21m ANT Ides Sentinel [IUQ-888  Out Energy Cells       8,880    15.34     136,219  —                                       [?] unknown
  14h 34m EIY-744                     Out Energy Cells         780    19.79      15,436  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  14h 43m AOL-503                     Out Graphene             311   160.13      49,800  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  14h 43m NDX-352                     Out Hull Parts         1,683   163.91     275,861  ARG Argon Trading Station (YIB-209)     [~] infer (sector)
  14h 52m ANT Mercury Sentinel [DSX-  Out Energy Cells       9,840    14.44     142,090  —                                       [?] unknown
  14h 56m EIY-744                     Out Hull Parts           280   280.90      78,652  ARG Weapon Component Factory III (JRZ-  [v] proven (courier)
  15h 01m AOL-503                     Out Graphene             604   152.21      91,935  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  15h 08m ARG Mercury Vanguard [LCB-  Out Energy Cells       8,200    15.18     124,476  —                                       [?] unknown
  15h 19m EIY-744                     Out Hull Parts           683   211.98     144,782  MIN Teladi Wharf (PXO-913)              [v] proven (courier)
  15h 27m AOL-503                     Out Energy Cells       3,162    18.26      57,738  TEL Graphene Refinery I (QLD-814)       [v] proven (courier)
  15h 30m HZG-526                     Out Refined Metals        88   148.68      13,084  ARG Engine Part Factory I (TNN-118)     [~] infer (sector)
  15h 38m EIY-744                     Out Graphene             400   158.76      63,504  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  15h 54m AOL-503                     Out Graphene             604   168.51     101,780  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
